Boston Herald,36.12,9.79,.bostonherald.com
The Christian Post,36.29,10.41,.christianpost.com
Washington Examiner,35.26,11.49,.washingtonexaminer.com
Fox News,35.38,11.57,.foxnews.com
Glenn Greenwald,36.42,10.92,.greenwald.substack.com
Washington Times,36,11.91,.washingtontimes.com
Fox Buisiness,38.94,9.39,.foxbuisiness.com
Quillette,37.53,9.56,.quillette.com
The College Fix,38.32,10.92,.thecollegefix.com
The Post Millennial,31.38,12.05,.thepostmillennial.com
New York Sun,31.1,13.11,.nysun.com
Daily Wire,32.17,12.85,.dailywire.com
The Blaze,33.39,13.55,.theblaze.com
Newsmax,32.57,13.72,.newsmax.com
National Review,31.85,13.44,.nationalreview.com
Breitbart,32.22,14.16,.breitbart.com
Rasmussen Reports,34.04,14.14,.rasmussenreports.com
National Catholic Register,22.39,11.81,.ncregister.com
Climate News,19.59,12.08,.climate.news
RT Russia Today,28.64,11.44,.rt.com
Rebel News,30.27,10.87,.rebelnews.com
The Spectator World,28.23,12.87,.thespectator.com
Independent Journal Review,25.8,12.86,.ijr.com
OutKick,27.43,13.43,.outkick.com
The Washington Free Beacon,26.32,13.99,.freebeacon.com
OAN Network,27.53,14.55,.oann.com
RealClearPolitics,36.4,14.68,.realclearpolitics.com
Published Reporter,26.86,15.48,.publishedreporter.com
Heritage Foundation,28.68,15.96,.heritage.org
CBN,34.11,15.43,.cbn.com
CNSNews,34.2,15.75,.cnsnews.com
Daily Caller,31.27,15.65,.dailycaller.com
ZeroHedge,21.35,16.17,.zerohedge.com
Turning Point USA,20.6,16.97,.tpusa.com
The Epoch Times,23.35,17.07,.theepochtimes.com
The Daily Signal,22.87,17.85,.dailysignalcom
PragerU,23.13,18.71,.prageru.com
The Federalist,22.69,19.06,.thefederalist.com
Western Journal,23.07,19.51,.westernjournal.com
Townhall,24.75,19.88,.townhall.com
Activist Post,17.54,16.42,.activistpost.com
Mercola,14.53,18.07,.mercola.com
RedState,21.83,22.26,.redstate.com
The American Spectator,20.36,22.3,.spectator.com
Glenn Beck,21.14,23.46,.glennbeck.com
Judicial Watch,23.64,23.27,.judicialwatch.org
NewsBusters,19.78,20.65,.newsbusters.org
PJ Media,18.92,21.73,.pjmedia.com
American Greatness,18.79,22.57,.amgreatness.com
Twitchy,17.54,21.07,.twitchy.com
WND,15.46,21.22,.wnd.com
The Post & Email,15.22,23.42,.thepostemail.com
The Gateway Pundit,15.11,23.94,.thegatewaypundit.com
The People's Voice,14.27,24.69,.thepeoplesvoice.tv
InfoWars,14.92,25.37,.infowars.com
Bill O'Reilly,21.72,25.55,.billoreilly.com
Big League Politics,18.04,25.06,.bigleaguepolitics.com
WorldTruth.TV,8.52,25.64,.worldtruth.tv
Natural News,9.21,28.15,.naturalnews.com
American Liberty Report,10.81,29.13,.americanlibertyemail.com
NewsTarget,7.29,29.98,.newstarget.com
Before It's News,6.23,29.41,.beforeitsnews.com
